state,bill_number,title,bill_status,summary
"
Alabama
","
H 489
","
Public K-12 Education
","
Failed - Adjourned
","
Relating to student use of social media; requires course on risks and safety of social media; prohibits student access to social media through local school board internet.
"
"
Alabama
","
HJR 232
","
Protecting Children from Internet Pornography
","
Failed - Adjourned
","
Creates the Interim Study Commission on Protecting Children from Internet Pornography.
"
"
Alaska
","
None
", , , 
"
Arizona
","
S 1343
","
Digital and Media Instruction
","
Failed - Adjourned
","
Relates to Arizona Department of Education; relates to digital and media instruction.
"
"
Arkansas
","
S 66
","
Distribution of Harmful Material Act
","
Enacted
","
Creates the Protection of Minors from Distribution of Harmful Material Act; establishes liability for the publication or distribution of material harmful to minors on the internet; imposes duties on publishers and distributors of material harmful to minors; requires reasonable age verification; provides for individual rights of action; allows for attorney’s fees, court costs and punitive damages.
"
"
Arkansas
","
S 396
","
Social Media Safety Act
","
Enacted
","
Creates the Social Media Safety Act; requires age verification for use of social media; clarifies liability for failure to perform age verification for use of social media and illegal retention of data; requires parental consent; relates to liability for social media companies.
"
"
Arizona
","
S 1343
","
Digital and Media Instruction
","
Failed - Adjourned
","
Relates to Arizona Department of Education; relates to digital and media instruction.
"
"
Arizona
","
S 1503
","
Explicit Content and Age Verification
","
Failed - Adjourned
","
Provides that a commercial entity that intentionally or knowingly publishes or distributes material harmful to minors on the internet from a website that contains a substantial portion of such material shall verify that any person attempting to access material harmful to minors is at least a specified age; provides that verification may be made either using a commercially available database for the purposes of verification and through any other commercially reasonable method of verification.
"
"
Arkansas
","
S 396
","
Social Media Safety Act
","
Enacted
","
Creates the Social Media Safety Act; requires age verification for use of social media; clarifies liability for failure to perform age verification for use of social media and illegal retention of data; requires parental consent; relates to liability for social media companies.
"
"
California
","
A 787
","
Pupil Instruction: Digital Citizenship and Media
","
Pending - Carryover
","
Requires, on or before specified date, the superintendent of public instruction to survey teacher librarians, principals, and technology directors to understand how they are integrating digital citizenship and media literacy education into their curriculum. Requires the superintendent to convene and consult with an advisory committee consisting of specified representatives to develop best practices and recommendations for instruction in digital citizenship and media literacy.
"
"
California
","
A 836
","
Social Media Platform: First Amendment Forum
","
Pending - Carryover
","
Declares that, notwithstanding any law, a social media platform, as defined, shall be considered a traditional First Amendment forum for those purposes, as specified. Requires a social media platform located in the state to develop a policy or mechanism to address content or communications that constitute unprotected speech, including obscenity, incitement of imminent lawless action, and true threats, or that purport to state factual information that is demonstrably false.
"
"
California
","
A 873
","
Pupil Instruction: Media Literacy: Curriculum Framework
","
Enacted
","
Requires the Instructional Quality Commission to consider incorporating the Model Library Standards into the next revision of the English Language Arts/English Language Development curriculum framework after certain date, and to also consider incorporating media literacy content at each grade level. Requires the commission to consider incorporating media literacy content into the mathematics, science, and history-social science curriculum frameworks when those frameworks are next revised after certain date.
"
"
California
","
A 955
","
Controlled Substances
","
Pending - Carryover
","
Makes the sale of fentanyl on a social media platform in the state punishable by imprisonment in a county jail for a specified period.
"
"
California
","
A 1027
","
Social Media Platforms: Drug Safety Policies
","
Enacted
","
Provides that existing law requires a social media platform to create and post a policy statement regarding the use of the platform to illegally distribute controlled substances. Requires a platform to retain content it has taken down or removed for a violation of its policy related to controlled substances for a specified period, except when the platform has a good faith belief that the content is related to offering, seeking, or receiving of gender-affirming health care, mental care, or reproductive care.
"
"
California
","
A 1282
","
Mental Health: Impacts of Social Media
","
Pending - Carryover
","
Requires the Mental Health Services Oversight and Accountability Commission to explore, among other things, the persons and populations that use social media and the negative mental health risks associated with social media and artificial intelligence. Requires the commission to report to specified policy committees of the legislature a statewide strategy to understand, communicate, and mitigate mental health risks associated with the use of social media by children and youth.
"
"
California
","
A 1394
","
Commercial Sexual Exploitation: Child Sexual Abuse
","
Enacted
","
Provides that the California Consumer Privacy Act grants a consumer the right to request that a business delete personal information about the consumer that the business has collected from the consumer. Requires a social media platform to permanently block the instance of reported material and make reasonable efforts to remove and block other instances of the same material from being viewable on the platform if there is a reasonable basis to believe that the material is child sexual abuse material.
"
"
California
","
S 60
","
Social Media Platforms: Controlled Substances
","
Enacted
","
Provides that existing law authorizes a person who is the target of a violent post to seek an order requiring the social media platform to remove the violent post and any related violent post the court determines shall be removed in the interests of justice. Authorizes a person to seek an order requiring a social media platform to remove content that includes an offer to transport, import into this state, sell, furnish, administer, or give away a controlled substance in violation of specified law.
"
"
California
","
S 287
","
Features that Harm Child Users: Civil Penalty
","
Pending - Carryover
","
Prohibits a social media platform from using a design, algorithm or feature that the platform knows, or which by the exercise of reasonable care should have known, causes child users, as defined to do any of certain things, including experience addiction to the social media platform. Subjects a social media platform that knowingly and willfully violates these provisions to a civil penalty and an award of litigation costs and attorney's fees in an action brought only by certain public attorneys.
"
